eta_c,C_D,K_back,CR_passive,eta_open,unresolved_fraction,converged,scattering,mean_wall_hits,mass_kg,alpha,theta_deg,L_over_d,phi,d_mm,species
0.4187447565210012,2.776315609368293,0.1106,286.5993870678517,0.52375,8.333333333333333e-05,True,cll,34.37583333333333,4.42449,1.0,2.0,10,0.8,10.0,N2
0.3480040145333831,2.7690317507676325,0.10565,249.34218155297032,0.4366666666666666,8.333333333333333e-05,True,cll,36.47425,4.42449,1.0,5.0,10,0.8,10.0,N2
0.9,2.708567624049933,0.99965,60.57912819211877,1.0,0.0,True,cll,1.0934166666666667,4.97718,0.0,0.0,10,0.9,10.0,N2
0.8994517443171862,2.705259591489243,0.99975,60.53616928758088,1.0,0.0,True,cll,1.1646666666666667,4.97718,0.0,2.0,10,0.9,10.0,N2
0.896575228282571,2.688217695665743,0.99955,60.3546438975508,1.0,0.0,True,cll,1.4953333333333334,4.97718,0.0,5.0,10,0.9,10.0,N2
0.9,2.708567624049933,0.4466,135.59768360333976,1.0,0.0,True,cll,1.1274166666666667,4.97718,0.2,0.0,10,0.9,10.0,N2
0.8994517443171862,2.705259591489243,0.4469,135.42411108807113,1.0,0.0,True,cll,1.19225,4.97718,0.2,2.0,10,0.9,10.0,N2
0.896575228282571,2.688217695665743,0.4479,134.6896278361172,1.0,0.0,True,cll,1.53075,4.97718,0.2,5.0,10,0.9,10.0,N2
0.9,2.708567624049933,0.2408,251.4864015666592,1.0,0.0,True,cll,1.272333333333333,4.97718,0.5,0.0,10,0.9,10.0,N2
0.8989270641330012,2.7053166485597964,0.24265,249.27150755422457,0.9994166666666666,0.0,True,cll,1.3649166666666666,4.97718,0.5,2.0,10,0.9,10.0,N2
0.8955292238495747,2.6883877495473403,0.24565,245.2965692764956,0.9988333333333334,0.0,True,cll,1.7165,4.97718,0.5,5.0,10,0.9,10.0,N2
0.868575,2.713532423285755,0.1491,391.97481286813655,0.9650833333333332,0.0,True,cll,5.279,4.97718,0.8,0.0,10,0.9,10.0,N2
0.8654974409692124,2.7106011369113894,0.1491,390.5859568393727,0.96225,0.0001666666666666,True,cll,5.22275,4.97718,0.8,2.0,10,0.9,10.0,N2
0.8434531460068286,2.6964768397103387,0.148,383.4667625848645,0.94075,8.333333333333333e-05,True,cll,7.563833333333333,4.97718,0.8,5.0,10,0.9,10.0,N2
0.489075,2.7707486509624246,0.1139,288.9217384895941,0.5434166666666667,8.333333333333333e-05,True,cll,33.143166666666666,4.97718,1.0,0.0,10,0.9,10.0,N2
0.4710878510861263,2.7709462046525664,0.1106,286.5993870678517,0.52375,8.333333333333333e-05,True,cll,34.37583333333333,4.97718,1.0,2.0,10,0.9,10.0,N2
