alt_km,f107,rho,fO,fN2,fO2,T
2.58000000e+02,1.00000000e+02,4.09694743e-11,6.60344357e-01,3.18672116e-01,2.09835262e-02,8.78216858e+02
2.60000000e+02,1.00000000e+02,3.89502007e-11,6.66915883e-01,3.12689276e-01,2.03948411e-02,8.79063477e+02
2.62000000e+02,1.00000000e+02,3.70426398e-11,6.73407410e-01,3.06772330e-01,1.98202603e-02,8.79872131e+02
2.64000000e+02,1.00000000e+02,3.52398041e-11,6.79817839e-01,3.00922625e-01,1.92595361e-02,8.80644348e+02
2.66000000e+02,1.00000000e+02,3.35352406e-11,6.86146386e-01,2.95141135e-01,1.87124788e-02,8.81381897e+02
2.68000000e+02,1.00000000e+02,3.19229261e-11,6.92392223e-01,2.89428961e-01,1.81788160e-02,8.82086365e+02
2.70000000e+02,1.00000000e+02,3.03972472e-11,6.98554611e-01,2.83787073e-01,1.76583164e-02,8.82759399e+02
2.72000000e+02,1.00000000e+02,2.89529841e-11,7.04632464e-01,2.78216775e-01,1.71507612e-02,8.83402405e+02
2.74000000e+02,1.00000000e+02,2.75852795e-11,7.10626041e-01,2.72718053e-01,1.66559057e-02,8.84016663e+02
2.76000000e+02,1.00000000e+02,2.62895452e-11,7.16534146e-01,2.67292311e-01,1.61735431e-02,8.84603943e+02
2.78000000e+02,1.00000000e+02,2.50615761e-11,7.22356376e-01,2.61940199e-01,1.57034252e-02,8.85165100e+02
2.80000000e+02,1.00000000e+02,2.38973945e-11,7.28092770e-01,2.56661889e-01,1.52453414e-02,8.85701294e+02
2.82000000e+02,1.00000000e+02,2.27932916e-11,7.33742981e-01,2.51457985e-01,1.47990340e-02,8.86213989e+02
2.84000000e+02,1.00000000e+02,2.17458083e-11,7.39306487e-01,2.46329201e-01,1.43643121e-02,8.86704102e+02
2.86000000e+02,1.00000000e+02,2.07516868e-11,7.44783418e-01,2.41275633e-01,1.39409490e-02,8.87172668e+02
2.88000000e+02,1.00000000e+02,1.98079296e-11,7.50173973e-01,2.36297342e-01,1.35286845e-02,8.87620728e+02
2.90000000e+02,1.00000000e+02,1.89116587e-11,7.55477756e-01,2.31394905e-01,1.31273388e-02,8.88049133e+02
2.92000000e+02,1.00000000e+02,1.80602252e-11,7.60695180e-01,2.26568151e-01,1.27366687e-02,8.88458923e+02
2.94000000e+02,1.00000000e+02,1.72511224e-11,7.65825913e-01,2.21817609e-01,1.23564775e-02,8.88850769e+02
2.96000000e+02,1.00000000e+02,1.64820206e-11,7.70870903e-01,2.17142584e-01,1.19865131e-02,8.89225586e+02
2.98000000e+02,1.00000000e+02,1.57507219e-11,7.75829871e-01,2.12543549e-01,1.16265807e-02,8.89584106e+02
3.00000000e+02,1.00000000e+02,1.50551481e-11,7.80703284e-01,2.08020245e-01,1.12764711e-02,8.89927185e+02
1.50000000e+02,1.50000000e+02,1.78548987e-09,2.70904159e-01,6.62993527e-01,6.61023132e-02,7.13786560e+02
1.52000000e+02,1.50000000e+02,1.61581304e-09,2.79245567e-01,6.57076980e-01,6.36774526e-02,7.29241638e+02
1.54000000e+02,1.50000000e+02,1.46722157e-09,2.87480381e-01,6.51124790e-01,6.13948294e-02,7.43994934e+02
1.56000000e+02,1.50000000e+02,1.33645972e-09,2.95619583e-01,6.45136324e-01,5.92440926e-02,7.58079529e+02
1.58000000e+02,1.50000000e+02,1.22087307e-09,3.03672624e-01,6.39111997e-01,5.72153788e-02,7.71527222e+02
1.60000000e+02,1.50000000e+02,1.11827281e-09,3.11647464e-01,6.33052646e-01,5.52998896e-02,7.84367798e+02
1.62000000e+02,1.50000000e+02,1.02684639e-09,3.19551393e-01,6.26959139e-01,5.34894680e-02,7.96630005e+02
1.64000000e+02,1.50000000e+02,9.45081569e-10,3.27390494e-01,6.20832976e-01,5.17765304e-02,8.08340942e+02
1.66000000e+02,1.50000000e+02,8.71710426e-10,3.35169964e-01,6.14676077e-01,5.01539582e-02,8.19526489e+02
1.68000000e+02,1.50000000e+02,8.05662981e-10,3.42894330e-01,6.08490413e-01,4.86152563e-02,8.30211304e+02
1.70000000e+02,1.50000000e+02,7.46030515e-10,3.50567621e-01,6.02278066e-01,4.71543130e-02,8.40418518e+02
