# Song, Cho, Karwasz, Kokoouline & Tennyson, J. Phys. Chem. Ref. Data 52, 023104 (2023), doi:10.1063/5.0150618,
# Fig. 19, vector paths from the NSF Public Access Repository copy https://par.nsf.gov/servlets/purl/10526876
# (sha256 f35b73d1f5f11291e6d844cdd8e324f99b6f5b17a9661d2568fca59e9604875d); extracted by scripts/chemistry/n2_domain_extension_requirements.py --extract-fig19.
# Frame: x log10 from ticks 10 eV (x=348.774 pt) and 1000 eV (534.467 pt); y linear from ticks 0.0 (223.626 pt)
# and 3.0 (86.866 pt) in 1e-16 cm^2. Series identified by the figure LEGEND (Majeed = green dashed, Kawaguchi =
# magenta solid); the caption says the reverse (broken/solid) - the text (Kawaguchi 'somewhat lower', Majeed uses
# Cosby) agrees with the legend. Markers: bounding-box centre (anchor ambiguity <= 0.5 pt ~ 0.011e-16 cm^2).
# Evidence: digitized (vector) from a secondary figure; MS1997/Kawaguchi primaries not accessed (abstract only).
series,x_pt,y_pt,E_eV,sigma_1e-16cm2
Kawaguchi2021_curve,368.4450,217.5480,16.2879,0.13333
Kawaguchi2021_curve,368.5059,217.4720,16.3125,0.13500
Kawaguchi2021_curve,368.5687,217.3995,16.3380,0.13659
Kawaguchi2021_curve,368.6327,217.3296,16.3639,0.13812
Kawaguchi2021_curve,368.6975,217.2614,16.3902,0.13962
Kawaguchi2021_curve,368.7622,217.1939,16.4166,0.14110
Kawaguchi2021_curve,368.8264,217.1264,16.4427,0.14258
Kawaguchi2021_curve,368.8894,217.0578,16.4684,0.14408
Kawaguchi2021_curve,368.9506,216.9873,16.4934,0.14563
Kawaguchi2021_curve,369.0093,216.9139,16.5175,0.14724
Kawaguchi2021_curve,369.0651,216.8369,16.5403,0.14893
Kawaguchi2021_curve,369.1172,216.7552,16.5617,0.15072
Kawaguchi2021_curve,369.1650,216.6680,16.5814,0.15263
Kawaguchi2021_curve,369.3250,216.5080,16.6473,0.15614
Kawaguchi2021_curve,369.4060,216.3470,16.6808,0.15967
Kawaguchi2021_curve,369.4734,216.2805,16.7087,0.16113
Kawaguchi2021_curve,369.5421,216.2020,16.7372,0.16285
Kawaguchi2021_curve,369.6118,216.1138,16.7661,0.16479
Kawaguchi2021_curve,369.6820,216.0185,16.7953,0.16688
Kawaguchi2021_curve,369.7522,215.9187,16.8246,0.16907
Kawaguchi2021_curve,369.8220,215.8170,16.8538,0.17130
Kawaguchi2021_curve,369.8908,215.7158,16.8825,0.17352
Kawaguchi2021_curve,369.9583,215.6178,16.9108,0.17567
Kawaguchi2021_curve,370.0239,215.5255,16.9384,0.17769
Kawaguchi2021_curve,370.0872,215.4413,16.9650,0.17954
Kawaguchi2021_curve,370.1477,215.3680,16.9904,0.18115
Kawaguchi2021_curve,370.2050,215.3080,17.0146,0.18247
Kawaguchi2021_curve,370.3650,215.1480,17.0823,0.18598
Kawaguchi2021_curve,370.5250,214.9070,17.1502,0.19126
Kawaguchi2021_curve,370.6040,214.7490,17.1838,0.19473
Kawaguchi2021_curve,370.7650,214.5890,17.2526,0.19824
Kawaguchi2021_curve,370.9250,214.3470,17.3211,0.20355
Kawaguchi2021_curve,371.1242,214.0916,17.4069,0.20915
Kawaguchi2021_curve,371.3224,213.8345,17.4927,0.21479
Kawaguchi2021_curve,371.5195,213.5760,17.5784,0.22046
Kawaguchi2021_curve,371.7156,213.3164,17.6641,0.22615
Kawaguchi2021_curve,371.9105,213.0559,17.7497,0.23187
Kawaguchi2021_curve,372.1044,212.7947,17.8353,0.23760
Kawaguchi2021_curve,372.2971,212.5332,17.9207,0.24333
Kawaguchi2021_curve,372.4888,212.2716,18.0061,0.24907
Kawaguchi2021_curve,372.6793,212.0101,18.0914,0.25481
Kawaguchi2021_curve,372.8687,211.7490,18.1765,0.26054
Kawaguchi2021_curve,373.0569,211.4885,18.2616,0.26625
Kawaguchi2021_curve,373.2440,211.2290,18.3465,0.27194
Kawaguchi2021_curve,373.4040,210.9900,18.4194,0.27719
Kawaguchi2021_curve,373.5640,210.8300,18.4927,0.28070
