# Ragimkhanov et al., Eur. Phys. J. D 80, 69 (2026), CC BY 4.0, Fig. 1b electron MTCS, vector-path extraction (scripts/build_n_elastic_tables.py). curve: opm = present OPM calculation; wang = Wang et al. 2014 BSR as re-plotted in that figure. E in eV, sigma in a0^2.
curve,E_eV,sigma_a0sq
opm,2595.04,0.0318434
opm,2618.16,0.0309612
opm,2618.16,0.0313992
opm,2639.54,0.0304855
opm,2639.54,0.0309612
opm,2660.86,0.0304855
opm,3194.28,0.0221675
opm,3220.37,0.0218583
opm,3220.37,0.0221675
opm,3246.38,0.0215534
opm,3246.38,0.0218583
opm,3275.29,0.0212493
opm,3275.29,0.0215534
opm,3302.04,0.0209229
opm,3302.04,0.0212493
opm,3328.71,0.020631
opm,3328.71,0.0209229
opm,3355.9,0.0203432
opm,3355.9,0.020631
opm,3385.78,0.0200306
opm,3385.78,0.0203432
opm,3413.13,0.0197481
opm,3413.13,0.0200306
opm,3441.01,0.0194726
opm,3441.01,0.0197481
opm,3468.79,0.019201
opm,3468.79,0.0194726
opm,3499.69,0.0189059
opm,3499.69,0.019201
opm,3528.27,0.0186392
opm,3528.27,0.0189059
opm,3556.77,0.0183792
opm,3556.77,0.0186392
opm,3588.77,0.0181229
opm,3588.77,0.0183792
opm,3617.75,0.0178444
